Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) A very, very good clinic.
One is received very warmly. All employees are very friendly and exude a calm that can hardly be put into words.
I felt very comfortable, although as a patient I am actually very suspicious.
The nurses, doctors and therapists are great there. You can tell that everyone is a team and harmonizes with each other.
I can only say ""great""!
If I had to visit such a surgical clinic again, my decision would be made now.
Highly recommended.

(Original)
Eine Sehr sehr gute Klinik.
Man wird sehr herzlich aufgenommen. Alle Mitarbeiter/innen sind sehr freundlich und strahlen eine Ruhe aus, dass man es kaum richtig in Worte fassen kann.
Ich habe mich sehr wohl gefühlt, obwohl ich als Patient eigentlich sehr misstrauisch bin.
Die Pflegekräfte, Ärtze und Therapeuten sind klasse dort. Man merkt dass da alle ein Team sind die miteinander hamonieren.
Ich kann nur sagen ""Top""!
Müsste ich nochmal solch ein Chirurgische klinik besuchen, stände meine Entscheidung bereits jetzt.
Sehr zu empfelen.",a month ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) Stay from 08.02. until 02/10/21
I am very satisfied with the entire process.
The staff is very friendly and always helpful. Thanks to the anesthesiologist and Dr. Bergmann from edh Hannover.
The rooms are nice, friendly, bright and very clean. The beds are also great.
WLAN free of charge. Thanks also to the kitchen
for the delicious food.
I can only recommend the Sophienklinik in Hanover.!
Kind regards Dimitrios Nikolaidis

(Original)
Aufenthalt vom 08.02. bis 10.02.21
Ich bin mit dem gesamten Ablauf sehr zufrieden.
Das Personal ist sehr freundlich und immer hilfsbereit.  Danke an die Anästhesie und Herrn Dr. Bergmann vom edh Hannover.
Die Zimmer sind schön, freundlich hell und  sehr sauber . Die Betten ebenfalls spitze.
WLAN kostenlos. Danke auch an die Küche
für das leckere Essen.
Die Sophienklinik in Hannover kann ich nur empfehlen.!
Herzliche Grüße Dimitrios Nikolaidis",a month ago,1
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) Stay from December 15, 2020 to December 16, 2020 OP by Dr. M.Gattermann.
I am very satisfied with the entire stay. From reception / registration to discharge.
Very nice and competent team. I felt very comfortable and in good hands.
A big thank you to Station 1 West. Especially sister Ewa, Sabine and Lena. Of course, thank you to everyone who accompanied me over the two days.

Nicely decorated rooms, great bathroom. State-of-the-art beds. Free WiFi.

I was very at peace with the food. Especially breakfast and lunch were very, very tasty.

I don't understand some of the reviews here but it is and remains a clinic and not a hotel :)

So .... thank you thank you and all of you stay healthy ♡

P.Sowizral

(Original)
Aufenthalt vom 15.12.2020 bis 16.12.2020 OP durch Dr. M.Gattermann.
Ich bin mit dem gesamten Aufenthalt sehr zufrieden. Vom Empfang / Anmeldung bis zur Entlassung.
Sehr nettes und kompetentes Team. Habe mich sehr wohl und gut aufgehoben gefühlt.
Ganz großes Dankeschön an die Station 1 West. Vorallem Schwester Ewa, Sabine und Lena. Natürlich auch ein danke an alle die mich in den 2 Tagen begleitet haben.

Schön eingerichtete Zimmer, tolles Bad. Betten auf neusten Stand. WLAN kostenlos.

Mit dem Essen war ich sehr zu Frieden. Vorallem Frühstück und Mittag sehr sehr lecker gewesen.

Ich verstehe manche Rezensionen hier nicht aber es ist und bleibt eine Klinik und kein Hotel :)

Also.... danke danke und bleiben Sie alle Gesund♡

P.Sowizral",3 months ago,1
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",1,"(Translated by Google) A terrible stay ... never again! The assistant doctor on October 6th, 2020 did not want to let me go despite my own free decision to leave the clinic. I was threatened with the police, etc. Every patient has the right to leave the clinic at any time against medical advice and at their own risk and responsibility. Exactly, that is denied you there! So I had no choice but to have my husband pick me up and, at a good moment, flee from the nurse and the terrible assistant doctor! P. operated on, which was also a great success and I can therefore recommend him to others for ENT matters, a top doctor! The criticism is therefore only directed at the assistant doctor on duty with an Eastern European accent. The clinic is new and modern, so every occupied bed is a real blessing for this clinic, there is no other explanation for this behavior of the assistant doctor. Yes, loans have to be paid off ... but you have no right to ""force"" patients to stay there if you are fine, etc. So for me, the very last clinic. Pooh!

(Original)
Ein schrecklicher Aufenthalt...Nie wieder! Die Assistenzärztin am 06.10.2020 wollte mich trotz meiner eigenen freien Entscheidung die Klinik zu verlassen nicht gehen lassen. Mir wurde mit der Polizei gedroht etc. Jeder Patient hat das Recht, gegen ärztlichen Rat und auf eigene Verantwortung und Risiko die Klinik, jederzeit zu verlassen. Genau, das wird einem dort verwehrt! Mir blieb somit nichts anderes übrig, als mich von meinem Mann abholen zu lassen und in einem guten Moment vor der Schwester und der schrecklichen Assistenzärztin zu fliehen!Ich wurde dort  übrigens von Dr. P. operiert, was auch ein super Erfolg war und ich Ihn daher auch gerne weiterempfehlen kann was HNO Sachen betrifft, ein Top Arzt! Die Kritik richtet sich daher nur an die diensthabende Assistentärztin mit osteuropäischen Akzent. Die Klinik ist neu und modern, so ist wohl jedes belegte Bett ein wahrer Geldsegen für diese Klinik, anders ist dieses Verhalten der Assistenzärztin nicht zu erklären. Ja Kredite müssen eben abbezahlt werden...aber man hat kein Recht Patienten zu ""zwingen"" dort zu bleiben, wenn es einem gut geht etc. Also für mich, die allerletzte Klinik. Pfui!",5 months ago,1
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) Great, everyone is very nice.

(Original)
Super, alls sind sehr nett.",a month ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I can only recommend the best ratings to the whole clinic ....... because friendly, organized, clean and the food delicious.
Thank you for the professional and nice advice (starting with the admission of the conversation) and during the inpatient treatment. Thank you very much

(Original)
Nur zu empfehlen gebe dem ganzem Klinikum beste Bewertungen....... weil freundlich, organisiert, sauber und das Essen lecker.
Danke für die professionelle und nette Beratung (angefangen schon bei Aufnahme Gespräch) und während der stationären Behandlung. Dankeschön",6 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",2,"(Translated by Google) I didn't feel particularly well after an operation, but it was not possible to find rest anywhere. The room was very noisy during the day due to the location on the street, plus a fellow patient who was comparatively fit and spoke loudly on the phone in the room while I was fighting against hot flashes, dizziness, nausea and shortness of breath. I was hoping that it would be quieter at night, but my fellow patient didn’t show any consideration and watched TV until 2:00 a.m. Despite my advice, the nursing staff did nothing, the instruction of the attending doctor to move me to another room was not carried out. Even though it's been almost a year, I still find it terrible.

(Original)
Nach einer OP ging es mir nicht besonders, aber es war nicht möglich, irgendwo Ruhe zu finden. Das Zimmer war am Tag durch die Lage an der Straße sehr laut, dazu eine Mitpatientin, die vergleichsweise fit war und im Zimmer lautstark telefonierte, während ich gegen Hitzewallungen, Schwindel, Übelkeit und Luftnot kämpfte. Ich hoffte darauf, dass es nachts ruhiger wird, aber meine Mitpatientin nahm auch da keine Rücksicht und sah bis 02:00 Uhr fern. Trotzt meiner Hinweise unternahm die Pflege nichts, die Anweisung des Beleg-Arztes, mir ein anderes Zimmer zuzuweisen, wurde nicht ausgeführt. Auch wenn es fast ein Jahr her ist empfinde ich es immer noch  als schrecklich.",5 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",2,"(Translated by Google) Time of arranging the client 1 hour. Disaster .. After surgery customer service poor .. Only food good .. I got 1 day stay fees € 10 .. Come on I'm insured .. It was probably a hotel .. Sorry Yes I was nervous ..

(Original)
Czas  zalatwienia klijenta 1godz.  Katastrofa ..  Po operacji obsługa klienta słaba  .. Tylko jedzenie dobre .. Dostalem Opłaty za pobyt 1dzień 10€ ..  Chodz Jestem ubezpieczony .. To chyba był hotel .. Przepraszam Tak byłem  zdenerwowany ..",7 months ago,2
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",1,"(Translated by Google) Unfortunately, I did not feel comfortable here during my stay. The nurses kept asking me if I didn't speak Russian, the food wasn't good and the room was getting on in years. Again, under no circumstances will I let myself be treated in hospital!

(Original)
Leider habe ich mich hier während meines Aufenthaltes überhaupt nicht wohl gefühlt. Die Pfleger fragten mich ständig, ob ich denn nicht auch russisch spreche, das Essen war nicht gut und auch das Zimmer war total in die Jahre gekommen. Nochmal lasse ich mich hier stationär auf keinen Fall behandeln!",9 months ago,1
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) A big thank you to everyone who came to my bed during these five days and took care of me.
P.S. Please give me my regards MAX (the intern)

(Original)
Ein herzliches Dankeschön an alle die in diesen fünf Tagen an mein Bett gekommen sind und sich um mich gekümmert haben.
P.S. Bitte grüssen Sie mir MAX (der Praktikant)",4 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) Very well organized clinic, from admission to the ward, operating theater and recovery room.
Really ALL employees across the board very polite and turned towards the patient.
The free WiFi / patient entertainment is also very good. The new building does the rest.

(Original)
Sehr gut organisierte Klinik, von der Aufnahme bis zur Station, OP und Aufwachraum.
Wirklich ALLE Mitarbeiter durch die Bank ausgesprochen Höflich und dem Patienten zugewandt.
Sehr gut auch das kostenfreie W-Lan/ Patientenentertainment.Der Neubau tut sein übriges.",5 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I can only recommend this hospital. Big compliments to all employees, they are all very nice and courteous. Good facilities, good food (it's a hospital and not a 5 star restaurant 😊). Thanks to Dr. Glaser for a successful operation.

(Original)
Ich kann dieses Krankenhaus nur empfehlen. Großes Lob an alle Mitarbeiter und Mitarbeiterinnen, sie sind alle sehr nett und zuvorkommend. Gute Ausstattung, gutes Essen ( es ist ein Krankenhaus und kein 5 Sterne Restaurant 😊). Danke an Frau Dr. Glaser für die gelungene OP.",7 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I was operated on by Dr Tübenbach and was on the ward for 3 days and 2 nights and I am very satisfied!
The whole team took great care, I felt very well looked after.

(Original)
Ich wurde von Dr.Tübenbach operiert und war 3Tage und 2 Nächte auf Station und bin sehr zufrieden!
Das gesamte Team hat sich toll gekümmert, ich habe mich sehr gut aufgehoben gefühlt.",7 months ago,1
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) Thank you for everything 🤗 very nice team, very helpful, they take great care of you I can only recommend the clinic Best regards, Boyero Gomez

(Original)
Vielen Dank für alles 🤗 ganz nettes Team sehr hilfsbereit die kümmern sich ganz toll um einen ich kann die Klinik nur weiter empfehlen Liebe Grüsse Boyero Gomez",5 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I was there for two days. The twin rooms are great, as are the sanitary facilities in the room. Food was okay. What really surprised me was the team! I felt super cared for, taken seriously and ""cared for"" well. General anesthesia was also great, I did not have the usual effects of general anesthesia but only mild circulatory problems. All in all a very good experience.

(Original)
Ich war zwei Tage dort. Die Zweibettzimmer sind super, genauso wie die sanitären Einrichtungen auf dem Zimmer. Verpflegung war in Ordnung. Was mich sehr positiv überrascht hat war das Team! Ich hab mich super aufgehoben gefühlt, ernst genommen und gut ""bekümmert"". Auch die Vollnarkose lief super, ich hatte nicht die üblichen Effekte einer Vollnarkose sondern nur leichte Kreislaufbeschwerden. Alles in allem eine sehr gute Erfahrung.",a year ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",2,"(Translated by Google) They are for the fact that the visitors are crammed into a visiting time of 3 hours because of Corona ...... which does not go together. And for that you don't even have to accompany your child to the operating room because it is 18 years old on paper. Corona is establishing itself as an excuse for everything. Sad!!!!

(Original)
Die sind dafuer das man die Besucher wegen Corona in eine Besuchszeit von 3 Std pfercht......was nicht zusammen passt. Und dafuer das man nicht einmal sein Kind, weil es auf dem Papier 18 Jahre alt ist, zur Aufnahme zur OP zu begleiten. Corona etabliert sich zur Ausrede fuer alles. Traurig!!!!",5 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I can only agree with the other comments. The nursing staff was very friendly and took time for one, which I have never seen before. Despite the severe pain after the operation, the sister managed to elicit a smile. Greetings to Ms. G. Essen was hospital as you know it.

(Original)
Ich kann mich den anderen Kommentaren nur anschließen. Das Pflegepersonal war sehr freundlich und hat sich Zeit für einen genommen, was ich so noch nie gesehen habe. Trotz den starken Schmerzen nach der Operation hat es die Schwester geschafft einem ein Lächeln zu entlocken. Liebe Grüße an Frau G. Essen war Krankenhaus standart wie man es kennt.",a year ago,2
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) Very professional hospital. Nice and competent team. Especially the pain therapy, I have never met anyone else. I was excited. Unconditionally recommended. Many thanks

(Original)
Sehr professionelles Krankenhaus. Nettes und kompetentes Team. Besonders die Schmerztherapie habe ich so noch nirgends anders kennengelernt. Ich war begeistert. Bedingungslos empfehlenswert. Vielen Dank",a year ago,1
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) Scheduled on July 27, 2020, admitted to the Sophienklinik for the planned knee replacement on July 28, 2020.
Very good support! Both on Ward 1 East, IMT as well as by the physio team and the PainNurse!
Any time!

(Original)
Am 27.7 2020 geplant in die Sophienklinik eingewiesen zur geplanten Knie-TEP am 28.7.2020.
Sehr gute Betreunung! Sowohl auf der Station 1 Ost, IMT als auch vom Physioteam und der PainNurse!
Jederzeit wieder!",7 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",2,"(Translated by Google) Too long waiting times

(Original)
Zu lange Wartezeiten",a month ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) A really great hospital 👍 and they have become rare in Hannover. Everything is very clean and tidy. The staff are very competent friendly helpful and despite the many work. There is free parking which is at lunchtime Rah.

(Original)
Ein echt tolles Krankenhaus 👍 und die sind selten geworden in Hannover. Alles ist sehr sauber und ordentlich. Die Mitarbeiter sind sehr kompetent freundlich hilfsbereit und das trotz der vielen Arbeit. Es gibt kostenlose Parkplätze die in Mittagszeit Rah sind.",a year ago,1
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I came to the knee surgery (cruciate ligament tear, meniscus damage) by Dr. Kregehr was done, and excellently done!
The stay in the clinic afterwards was one of the best ever! Competent, friendly staff who always take care that you are well and immediately available for questions or help. The staff cannot be disturbed and responds to the needs of the patients! The rooms in the clinic are modern (the bathroom, the room equipment). It was the best hospital stay I have ever had!
My greatest praise to the workforce!

Best regards
Ayhan Cinar

(Original)
Gekommen bin ich zur OP am Knie (Kreuzbandriss, Meniskusschaden) die von Herrn Dr. Kregehr durchgeführt wurde, und hervorragend gemacht!
Der Aufenthalt anschließend im Klinikum, war einer der besten überhaupt! Kompetentes freundliches Personal, welches immer auf darauf achtet das es dir gut und sofort zur Stelle ist bei fragen oder Hilfe. Das Personal lässt sich nicht aus der Ruhe bringen und geht dabei auf die Bedürfnisse der Patienten ein! Die Räumlichkeiten im Klinikum sind modern (das Bad, die Zimmeraustattung). Das war der beste Krankenhaus Aufenthalt den ich je gehabt habe!
Mein größtes Lob an die Belegschaft!

Mit freundlichen Grüßen
Ayhan Cinar",8 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I was here for two days, very friendly and attentive nursing staff, no great waiting times. The only minimal drawback is that there was no fresh fruit or vegetables with the meals. If I had to go back to the hospital, I would always have to come here

(Original)
Ich war zwei Tage hier.sehr freundliches und aufmerksames Pflegepersonal, keine grossartigen Wartezeiten  gehabt. Das einzige minimale manko ist das es zu den Mahlzeiten kein frisches Obst bzw.Gemüse gab.wenn ich wieder ins krankenhaus müsste dann hier immer wieder",9 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",2,"(Translated by Google) I have an appointment for anesthesia, unfortunately the waiting time is very long. The waiting area in the cafe area is very noisy, which is not nice.
Will be operated here soon, hope this works better.

(Original)
Habe einen Termin zur Narkose, leider ist die Wartezeit sehr lange. Der Wartebereich in der Cafe Bereich ist sehr laut, was nicht schön ist.
Werde demnächst hier Operiert, hoffe, daß dieses besser abläuft.",a year ago,1
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) Was in the clinic for 3 days and only had positive experiences. I was accommodated in a very nice 2 bed room. The nursing team and everyone from the operating room, anesthesia, recovery room, transport, admission, cleaning, physio and pain therapy looked after me wonderfully. Humanity is still lived here. I felt very well looked after and taken seriously.

(Original)
War für 3Tage in der Klinik und habe nur positives erfahren. Ich wurde in einem sehr schönen 2Bett Zimmer untergebracht. Das Pflegeteam und auch alle vom OP-Bereich, Anästhesie, Aufwachraum,Transport, Aufnahme, Reinigung, Physio und Schmerztherapie haben mich wunderbar versorgt. Hier wird Menschlichkeit noch gelebt. Ich habe mich sehr gut versorgt und ernst genommen gefühlt.",a year ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I was there for a pain therapy.
+ Recording without a long wait and very organized.
+ Staff is very nice and competent
+ Rooms are well equipped

Road in front of the clinic is a bit loud in the evening.

(Original)
Ich war dort bezüglich einer Schmerztherapie.
+Aufnahme ohne lange Wartezeit und sehr organisiert.
+Personal ist sehr nett und kompetent
+Zimmer sind gut ausgestattet

-Straße vor der Klinik ist etwas laut auch abends.",a year ago,1
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",1,"(Translated by Google) I was there as a private patient in September 2019 and luckily this was only for one night. I had a twin room, which without any comfort such as was equipped with a television.
Bad planning made sure that my roommate and I didn't get any food from the clinic.
Fortunately, our relatives also spent a night in the city, so we took care of you.

The staff only showed up when you rang the doorbell several times and was not very helpful and only supported you when asked to do so.
You had the feeling that the staff was annoyed, that you needed their help.
Communication was also hampered by a lack of knowledge of German.

On the day of discharge, the lady was pushed out of my room despite extreme circulatory problems and nausea to make the bed free for the next admission! (Which was also formulated in the same way)

No patient should experience such a stay. That you had to spend so much money in your hand is really a joke!

I would not spend another stay in this clinic ...

(Original)
Ich war im September 2019 dort als Privatpatientin und dies zum Glück nur für eine Nacht.  Ich hatte ein Zweibettzimmer, welches ohne jeglichen Komfort wie z.B. einen Fernseher ausgestattet war.
Eine Fehlplanung sorgte dafür, dass meine Zimmergenossin und ich kein Essen von der Klinik bekamen.
Zum Glück verbrachten unsere Angehörigen ebenfalls eine Nacht in der Stadt, sodass wir von Ihnen versorgt worden sind.

Das Personal hat sich nur blicken lassen wenn man mehrfach geklingelt hat und war dabei wenig hilfreich und unterstütze einen nur nach direkter Aufforderung.
Man hatte das Gefühl,  dass das Personal genervt war, dass man auf seine Hilfe angewiesen war.
Auch war die Kommunikation durch mangelnde Deutschkenntnisse erschwert.

Am Entlassungstag wurde die Dame aus meinem Zimmer trotz extremer Kreislaufprobleme und Übelkeit gedrängt das Bett für die nächste Aufnahme frei zu machen!( Was auch genauso formuliert wurde)

Solch einen Aufenthalt sollte kein Patient erleben. Das man dafür soviel Geld in die Hand nehmen musste ist wirklich ein Witz!

In dieser Klinik würde ich keinen weiteren Aufenthalt verbringen...",a year ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) Excellent and helpful applications, competent staff, nice house, good kitchen, I am completely satisfied.

(Original)
Ausgezeichnete und hilfreiche Anwendungen, kompetentes Personal, schönes Haus, gute Küche, bin rundum zufrieden.",a year ago,0
