names,reviews,ratings
Augenklinik - Dr. Hoffmann,die schwestern in der anmeldung habe ich zum wiederholten male als sehr unfreundlich genervt und anmaßend erlebt zum teil wurden sogar anweisungen der ärzte nicht ausgeführt bei allem respekt dass täglich so viele patienten behandelt werden sollte man doch diesen mitarbeitern einmal klar machen dass sie es mit kranken menschen zu tun haben und dass man ihnen respekt zollt schließlich kommen diese menschen nicht aus jux und tollerei in die klinik der ton den assistenzärzten gegenüber lässt auch zu wünschen übrig so dass es den patienten sogar peinlich ist  alles in allem sehr schade denn die ärtzte leisten tadellose arbeit und diesen guten ruf sollten sie sich nicht durch unmotivierte mitarbeiter zunichtemachen lassen,4
Augenklinik - Dr. Hoffmann,ich habe die klinik aufgesucht um schnell eine diagnose zu bekommen andere augenärzte wollten einen termin in 6  8 monaten geben ich bin um 0715 uhr in der klinik gewesen und so gegen 0930 uhr mit optermin grauer star wieder raus hätte es bis zum abend gedauert wäre es für mich auch ok gewesen schneller als ein termin in 6  8 monaten am optag wurde ich abgeholt war um 0730 uhr in der klinik und so gegen 1000 uhr operiert ich empfand den gesamten vorgang wie eine fliesbandarbeit was aber nicht so schlimm war es gab ja noch weitere patienten und letztendlich hat es die op nicht beeinflusst und darauf kam es mir an    die unterbringung ist nicht gerade modern aber reicht meines erachtens aus verpflegung war gut und reichlich betreuung war auch gut und in allen bereichen nett und höflich ich kann wieder gut sehen und danke allen beteiligten für die gute arbeit ich will nichts empfehlen persönlich ist die klinik mein ansprechpartner sollte ich erneut eine op benötigen  was ich nicht hoffe  dann bin ich wieder in dieser klinik und vertraue auf erneute gute behandlung,6
Augenklinik - Dr. Hoffmann,in der anmeldung ist chaosnachdem ich 1 std im wartezimmer saß meldete ich mich erneut bei der anmeldung und fragte wie lange es dauere ich war zur 2 op des auges bestellt und sagte es nun auchdie dame daraufhin  sie müssen sagen was sie wollenes stand auf der überweisung  im opbereich waren alle zuvorkommend und nett in der anmeldung total überfordert,4
Augenklinik - Dr. Hoffmann,hallo telefonische beratung war inkompetent ich habe einen termin vereinbart und habe gefragt was ich für meine arbeitsuntersuchung brauche wenn aber ich schon in der klinik war habe ich erfahren dass ich noch einige unterlagen brauche die ich natürlich dabei nicht hatte darüber hat mir telefonisch nichts gesagt und in der klinik wusste die beratung selbst nicht welche leistungen sie anbieten ich war sehr enttäuscht und habe viel zeit verloren,0
Augenklinik - Dr. Hoffmann,hut ab  am 19 februar 2017 kam ich als notfall in die klinik bereits am empfang habe ich freundliche und kompetente mitarbeiterinnen schätzen gelernt die verschiedenen ärzte die für meine baldige genesung sorgten kann ich nur über den klee loben ich habe zwar keine weiteren erfahrungen gott sei dank aber das ich so schnell wieder genesen bin schreibe ich den behandelnden ärzten und den überaus freundlichen pflegepersonal in diese positive kritik abschließend bedanke ich mich nochmals herzlich dafür dass sie mein linkes auge retten konnten ich sehe inzwischen besser als zuvor beste grüße   rolfwilhelm eimecke,6
Augenklinik - Dr. Hoffmann,ich bin an diabetes erkrankt und habe leider auch schon folgeschäden im auge beide augen sind betroffen auf beiden augen ist flüssigkeit auf der netzhaut zusätzlich ist in dem glaskörper des rechten auges eine blutung welche sich bislang nicht von alleine zurückgebildet hat auch nicht nach einer sehr schmerzhaften laserbehandlung mit etwa 500 schuss hinzu kommt noch das beide linsen getrübt sind grauer star mir wurde in dieser klinik immer gesagt dass man die linse nicht durch eine künstliche ersetzen kann solange noch flüssigkeit auf der netzhaut ist das habe ich so hingenommen und habe entsprechende injektionen und lasereingriffe in beiden augen durchführen lassen 11 spritzen links 3 rechts es ist immer mit einer erhöhten bis unzumutbaren wartezeit verbunden die terminvergabe ist zwar in dem augenblick okay wenn man sie erhält doch dann bei dem besuch zum termin wundert man sich wenn man drei wier oder mehr stunden warten muss ich für mich habe seit gestern die nase gestrichen voll im warteraum saßen über 20 personen bereits operierte personen die ruhe brauchten aber auch auf den eingriff wartende personen überwiegend sind es natürlich ältere personen die sich dort quälen müssen teilweise mussten sie stehen da nicht mal ausreichend platz zum sitzen vorhanden war eine ältere person wartet seit 9 uhr auf seinen eingriff als ich mit meinem termin um 11 uhr ankam und das hörte war ich erschrocken dass man einen älteren mann ca 75 jahre dort solange warten lies bevor ich dann gegen 1230 uhr rankam kam dieser mann gerade geschwächt aus dem op das ist nur ein einzelfall ich selber habe die klinik gegen 1330 uhr verlassen dürfen es ist auch schon vorgekommen dass man meine gesundheitskarte der krankenkasse gar nicht eingelesen hatte eine arbeitsunfähigkeitsbescheinigung falsch oder gar nicht ausgestellt hatte zu all den sachen musste ich erneut in die klinik fahren eines tages wollte man nur ein auge behandeln aber man wollte mir beide augen tropfen das zeigte mir erneut wie durcheinander dort die organisation ist  nach den ganzen quälerein hatte man mir dann einen termin für eine größere op im rechten augen gegeben man wollte nun endlich mal eine linse ersetzen und gleichzeitig den glaskörper entfernen da habe ich mich entschlossen mir eine zweite meinung einzuholen und habe die klinik gewechselt schade dass ich nur 2000 zeichen darf,0
Augenklinik - Dr. Hoffmann,anbahnung und voruntersuchung für eine kataraktop bekam ich ohne termin der preis dafür war langes warten zwischen den untersuchungen das ganze zog sich über ca 4 stunden auffallend war dass das personal keine motivation hatte den patienten jeweils darüber zu informieren was gerade gemacht wird man bekam nur anweisungen machen sie dies gehen sie da niemand stellte sich vor am ende stand ein halblegales aufnahmegespräch mit einem arzt es wurde persönliches abgefragt vorerkrankungen allergien etc ein medikamentenname reichte als info nicht das führte zu langem suchen in der datenbank hätte ich dummerle mir nur den wirkstoff gemerkt der arzt hielt mich wohl für einen armen schlucker denn es folgte weder eine aufklärung über alle möglichkeiten verschiedenste linsentypen lichtfilter multifokal unterschiedliche augeneinstellung noch über die tatsächlichen risiken und ihre wahrscheinlichkeit es wurde kurz mein beruf angesprochen und der arzt entschied dann was wohl das beste für mich sei ich bekamm ein faltblatt zur unterschrift vorgehalten auf dem ein paar aufgemalte kreise wohl die größten risiken markieren sollten mit meinen augen konnte ich das fast nicht lesen beim optermin war die abfertigung schnell die nötigen augentropfen bekamen alle patienten schon im warteraum auch ein fragebogen mit unlesbar kleiner schrift war zu unterschreiben absicht meiner begleitung fiel noch eine besonders freundliche behandlung für privatpatienten auf die op verlief dann ohne viele worte den operateur konnte ich weder sehen war vor augenabdeckung nicht da noch hat er sich vorgestellt geht gar nicht danach tschüß kommen sie morgen wieder auch bei der erstkontrolle keine verhaltensregeln nichts als ich bei der zweitkontrolle meine probleme schilderte wurde nicht darauf eingegangen vertröstet und wir sehen sie bei der zweiten op  tschüß die habe ich abgesagt und lasse nun alles durch einen augenarzt überprüfen,0
Augenklinik - Dr. Hoffmann,mein freund liegt grad stationär in der klinik und was da abläuft geht garnicht  4 tage nach der op weiß er immer noch nicht ob alles gut gegangen ist und was nun genau gemacht worden ist die ärzte haben entweder keine zeit oder jeder sagt was anderes der arzt der ihn operierte ist nicht greifbar und hat immer zutun genauso geht es seinen 2 mitpatienten im zimmer er wurde bei im zig mal versucht den augendruck zu messen bis dann endlich einer merkte das er eine schutz kontaktlinse trägt gestern sollte er heute entlassen werden heute wiederum erst in 2 tagen  aber warum  keine info mein freund ist diabetiker aber das essen da ist nicht diabetiker geeignet bzw keiner kann sagen was im essen ist bzw wieviel kohlenhydrate es hat die schwestern sind unfreundlich und immer nur genervt die zimmer sind auf 70er jahre niveau aber das schlimmste ist wirklich daß keine auskunft geben kann und will was am patienten gemacht worden ist und ob es gelungen ist   also mein freund wird diesen scheißladen nicht mehr aufsuchen,0
Augenklinik - Dr. Hoffmann,schlimmer geht immerich war wegen meiner hornhaut verletzung zur kontrolle und hatte schon eine kontaktlinse im rechten auge zum schutz der hornhautzwei augenärzte haben sich mein auge angeschaut und beide sagten das meine kontaktlinse draussen sei und man mir wieder eine einsetzen möchte zum schutz tatsächlich haben die beiden ärzte meine kontaktlinse übersehen und ich hatte somit zwei kontaktlinsen im augenach einem tag sah ich alles mega unscharfbei meiner augenärztin zurück sie war im urlaubfragte sie mich wieso ich zwei kontaktlinsen im auge hättedie zweite linse hatte in der zeit schon wellen geworfensoviel inkompetenz dummheit blödheit passt in braunschweig auf keinen dampfer drauf,0
Augenklinik - Dr. Hoffmann,in diesem jahr wahr ich 2x zur augenoperation in der augenklinik dr hoffmann alle behandelnden ärzte und schwestern waren sehr freundlich professionell und nahmen sich immer zeit für mich besonders angenehm war die anästhesistin schon beim ersten gespräch strahlte frau dr sicherheit fürsorge und vertrauen aus im op war sie eine große beruhigung für mich ihre betreuung war super herzlichen dank an alle ärzte und schwestern die mich auch in dieser woche so professionell und liebevoll umsorgt haben ,6
Augenklinik - Dr. Hoffmann,wartezeit in der regel 2 stunden qualifizierte untersuchungen und gute persönliche beratung gute noten für krankenhausbetrieb einschließlich essen das erste krankenhaus in dem ich mich nicht unwohl gefühlt habe 3 tage mit op nach netzhautablösung sehr empfehlenswert,6
Augenklinik - Dr. Hoffmann,sehr kompetente beratung keine lange wartezeit intensive untersuchung schneller op termin und schmerzfreie katarakt op mit super ergebnis mit femtolaserbehandlung und multifokallinse am tag nach der op schon 100 sehfähig  bin gespannt wie es bei der behandlung des 2 auges geht,6
Augenklinik - Dr. Hoffmann,wenn man akut ein leichtes augenproblem hat ist die klinik zu empfehlen da man ohne termin dran kommt   aber es muss viel zeit mitgebracht werden stundenlanges warten ist eher die regel als die ausnahme manchmal gilt dies leider auch in notfällen je nachdem ob die dame hinter der anmeldung die dringlichkeit auch erkennt oder erkennen möchte  wenn man glück hat und zu einem der chefärtze vorgelassen wird kann man sicher sein kompetent und nett behandelt zu werden sonst ist es eher wie beim roulette ich bin auch schon trotz ernsthafter probleme unverrichteter dinge wieder nach hause geschickt worden  kataraktops grauer star neue kunstlinse kann man m e dort relativ problemlos machen lassen mit dem üblichen restrisiko die klinik ist dort erfahren  auch schwierige fälle netzhautriss netzhautablösung etc werden kompetent operiert aber die ops erfolgen m enicht immer ausreichend zeitnah hier müsste dringend noch schneller reagiert werden  die nachbehandlung ist qualitativ wieder sehr uneinheitlich je nachdem auf wen man trifft  die stationäre unterbringung in der klinik hat in vielen bereichen noch den charme der 70er jahre 4bettzimmer duschen in zu geringer zahl sanitäranlagen abgängig die essensversorgung ist aber relativ gut wenn auch kein mittagessen zum auswählen und das pflegepersonal größtenteils ganz nett  leider findet man nicht immer ausreichend schnell jemanden vom pflegepersonal die personaldecke scheint in diesem bereich zu dünn zu sein  daher ich kann die klinik weder eindeutig empfehlen noch eindeutige kritik üben wenn man in braunschweig und umgebung wohnt ist es halt praktisch dort hin zu gehen und im regelfall wird man auch kompetent behandelt aber ich habe halt auch schon das gegenteil erlebt   es gibt also noch potential für die klinik sich zu verbessern  und ich habe den eindruck dass dies erkannt ist und dort daran auch gearbeitet wird,4
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,ich habe meine tochter vor 15 monaten bekommen die entbindung dauerte ewig der muttermund wollte sich nicht öffnen die fruchtblase nicht platzen und meine tochter war ein sternengucker hatte die nabelschnur um den hals und der kopf blieb stecken alles sicherlich nichts ungewöhnliches aber der arzt wollte trotz bitten der hebamme nicht rein nachdem ich bereits 18 stunden mit heftigen wehen zugebracht hatte teilten mir die hebammen mit sie könnten mein kind nicht holen es müsse ein kaiserschnitt gemacht werden und sie würden den zuständigen arzt reinbestellen es war zu der zeit etwa 2330 uhr die hebammen kamen mit verstärkung wieder aber es war nicht der gewünschte arzt die hebammen teilten mir mit dass der arzt nicht kommen würde mein mann und ich waren entsetzt und fragten wie das sein könne wir haben keine genaue aussage bekommen aber durch die blume klang es wie der arzt hätte kein bock um die uhrzeit noch zu kommen ich hatte mir die geburt meiner tochter etwas anders vorgestellt eine hebamme saß auf meinem brustkorb einer hielt mein bein und noch ein anderer schnitt an mir rum und mir wurde zugerufen ich solle pressen oder atmen etc meine tochter war endlich dasie war ganz blau und gab keinen ton von sich aber sie lebte und wir waren heilfroh dass es vorbei war ich kann nur sagen dass die hebammen uns super behandelt haben und sehr nett waren  die schwestern auf station dagegen waren furchtbar mir wurde angeordnet 48 stunden meine tochter nicht alleine zu heben und nicht alleine ins bad zu gehen ich versuchte so wenig wie möglich zu klingeln und holte oft meinen mann zu hilfe wenn ich aber dann doch mal klingeln musste wurden die schwestern sehr ungemütlich keine einzige schwester blieb bei meiner tochter oder bei mir wenn ich ins bad musste mir hätte was passieren können und keiner hätte es bemerkt und dafür habe ich geklingelt dazu hatte jede schwester eine andere stillmethode und wollte sie uns aufzwingen,2
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift, die kreißsäle sind sehr veraltet zb ist die toilette teilweise sehr weit weg und 2 kreißsäle sind sehr klein  mit den hebammen muss man glück haben es gibt sehr nette aber auch sehr unfreundliches personal  leider ist nur eine hebamme anwesend daher steht sie einem kaum zur verfügung,2
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,mein besonderer dank gilt allen  herrn dr prönnecke u seinem team an ärztinnen u ärzten in der aufnahme anamnese den therapeuten  utherapeutinnen   den damen des sekretariats den damen der diagnostik u röntgenabtlg den schwestern nachtschwestern  und pflegern dem team der caterer last but not least den freundlichen damen im empfang u am telefon,6
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,die geburt hat sich sehr in die länge gezogen doch das hebammenteam hat mich hierbei ganz toll unterstützt auch der anesthesist war bei dem legen der dann irgendwann notwendigen pda sehr angenehm und machte trotz des trubels an dem tag einen entspannten eindruck das nähen nach der geburt war zwar nicht sehr schön aber ich habe bereits am nächsten tag wieder auf auf meinem damm sitzen können der dammschnitt ist sehr gut und ohne komplikationen verheilt auch der anschließende aufenthalt auf der station war sehr angenehm die schwestern waren sehr hilfsbereit und sogar das essen war lecker vor allen dingen das frühstücksbuffet war super,6
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,vielen dank an die schwestern der station c2 sehr freundlich und hilfsbereit trotz des heißen wetters waren alle sehr lieb einen großen dank an anästhesie team leider musste ich vor der op im vorraum etwas warten die zeit wurde aber durch das team sehr kurzweilig es wurde genau erklärt was während der op anästhesie passiert ich durfte auch auf eigenen wunsch länger im aufwachraum bleiben klimatisiert es waren an diesem tag 39 grad in braunschweig das essen war nicht so gut durch das heiße wetter waren wurst butter und käse leider nicht gut gekühlt worden hier könnte das kh nachbessern  die organisation der voruntersuchung und abläufe waren sehr gut das wlan war auch sehr gut,6
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,gutes kompetentes und freundliches pflegepersonal  ärztliche versorgung gut  zimmer und sanitäre anlagen in ordnung zum glück hatte ich eine eine sehr nette bettnachbarin was auch nicht unerheblich für den heilungsprozess ist lediglich das sehr warme wetter und der baustellenlärm waren zu bemängeln ist aber ja höhere gewalt durfte an einem sonntag nach hause sehr gut trotz wochenende  würde das krhs wieder nehmen wenn ich eine gynäkologische erkrankung hätte,6
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,da ich vor vielen jahren meine beiden söhne dort zur welt gebracht habe und dort nur gutes erfahren hatte und da meine mutter vor einigen jahren ebenfalls sehr gut dort aufgehoben war behandlung und pflege bin ich voller vertrauen zu einer geplanten gallenblasenop in eben dieses krankenhaus gegangen über die stationäre pflege kann man wirklich nicht klagen die ist sehr gut die pflegerinnen sehr aufmerksam freundlich verständnisvoll und hilfsbereit op ist auch allgemein gut verlaufen allerdings habe ich mich gewundert wie mit der wundversorgung verfahren wurde dies ist mir letztendlich auch zum nachteil geworden so dass ich als fazit sagen muss das vertrauen das ich in die medizinische behandlung gesetzt hatte ist mir ziemlich verloren gegangen müsste ich noch einmal entscheiden würde ich diese doch eigentlich harmlose op nicht noch einmal in diesem haus machen lassen,2
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,die menschliche komponente macht in dieser kleinen klinik den positiven unterschied  sicherlich ist nicht alles modern und optimal was die ausstattung betrifft die betten sind teilweise alt und die matrazen durchgelegen was bei rückenbeschwerden und langen liegezeiten zusätzliche probleme macht auch die sanitären bedingungen 1 durchgangsbad für zwei zimmer mit 4 patienten sind nicht optimal ja und auch die essenbestellung hat zu 50 prozent nicht richtig funktioniert sicherlich sind das punkte die einem privatpatienten der hohe versicherungskosten aufbringt unangenehm auffallen andererseits werden diese mängel durch die engagierte und kompetente pflegerische und medizinische betreuung schnell in den hintergrund gedrängt das was für mich als hilfesuchender patient wichtig ist nämlich eine hochprofessionelle und letzlich erfolgreiche behandlung in einer umgebung in der man das gute gefühl hat dass sich alle mitarbeiter bestmöglich um die patienten bemühen genau das findet man im marienstift braunschweig,6
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,es stimmt leider auch heute noch die unterbringung entspricht nicht dem heutigen standard erst recht nicht wenn man als privatpatient dafür zur kasse gebeten wird nach wie vor gibt es je zimmer nur einen fernseher nach wie vor klappt die essenbestellung nicht in den seltensten fällen erhält man das essen was man bestellt hat dies ist besonders bedenklich wenn man lebensmittelallergien angegeben hat das essen ist deutlich schlechter als in anderen kliniken in braunschweig oder wolfsburg bwz hannover die bäder sind teilweise so klein dass man mit unterarmgehstützen nicht hinein kommt schränke stehen so dass sie nicht genutzt werden können weil sie zugestellt sind oder gefährlich hinter eingangs oder  und toilettentür stehen fenster in den zimmern können nur geöffnet werden wenn man das personal bittet welches dann auf die stühle klettert um an die fenstergriffe zu gelangen  ganz bitter ist dass es niemanden interessiert wenn man auf mißstände aufmerksam macht man erhält ein belangloses schreiben wirkliches interesse wird darin nicht bekundet und wie man hier liest sind die probleme seit jahren die gleichen  die medizinische versorgung war sehr gut allerdings wurde ich von einem belegarzt operiert und nicht von einem arzt des krankenhauses das anästhesieteam des hauses war sehr kompetent ebenso das team im aufwachraum leider trifft dieses nicht auf das team der station c1 zu auch wenn man personalmangel dafür verantwortlich machen kann waren deutliche mängel sichtbar  ich würde das krankenhaus nicht wieder wählen wenn es alternativen gibt,0
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,ich habe nach mehreren arztbesuchen endlich eine passende diagnose die ärzte und pfleger sind nett und man fühl sich gut aufgehoben meine bettnachbarin hat widerum eine extreme lungenentzündung und scharcht und hustet die ganze nacht durch weshalb ich immer wieder wach wurde von dem essen will ich gar nicht sprechen,4
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,ich habe unsere beiden töchter dort entbunden 2016 sek sectio 2018 spontan und bin in jeder hinsicht voll zufrieden gewesen  hebammen ärzte und pfleger waren sehr kompetent und freundlich trotz stressiger situationen 2018 war an dem tag ein echter ansturm an frauen die entbinden wollten hat man sich zeit genommen und ich habe mich nie allein gelassen gefühlt  es wurden keine entscheidungen über meinen kopf hinweg getroffen sondern so gut es ging auf meine wünsche eingegangen gerade beim ks war es ein segen dass ich noch relativ lange versuchen durfte das kind spontan zu bekommen  die ärztin hat bis zum letztmöglichen zeitpunkt gewartet ohne das kind zu gefährden obwohl das den nachfolgenden opablauf verschoben hat die zweite geburt ist dann ganz in ruhe ohne wirkliches eingreifen von ärztenhebammen erfolgt ebenfalls so viel toller als ich bei einer geburt nach kaiserschnitt zu hoffen gewagt hatte das personal auf der station ist ebenfalls kompetent und sehr freundlich  ein tolles krankenhaus,6
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,ich habe im marienstift braunschweig meine zweite tochter entbunden und war höchst zufrieden mit der klinik der fachlichen kompetenz aller behandelnden ärztinnen und hebammen wie auch mit der betreuung ich fühlte mich zu jedem zeitpunkt der geburt gut aufgehoben und bestens unterstützt auch als entgegegen meiner planung im verlauf der geburt ein kaiserschnitt fällig wurde war der verlauf für mich transparent und meine wünsche kaisergeburt wurden trotz des zeitdrucks berücksichtigt so dass ich trotz der komplikationen ein positives geburtserlebnis hatte alle schwestern ärtzinnen und hebammen waren sehr einfühlsam und zeigten einen sensiblen umgang mit der geburts und nachgeburtssituation ich kann die entbindungsstation des marienstiftes wärmstens weiterempfehlen,6
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,ich kann diese klinik nur empehlensuper nette ärzte und pfleger geben sich viel mühe auch wenn man kein privatpatient istich fühlte mich sehr gut aufgehobendas hatte ich so noch in keinem anderen krankenhausdie ärzte nehmen sich viel zeit und erklären alles verständlich einfach super,6
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,ich wurde im februar 2018 an der nase und an den tuben operiert die grundversorgung lief über gkv mit wahlleistungen die hnoärztliche behandlung hingegen rein privat gegen die medizinische behandlung lässt sich nichts einwenden der service der unterbringung war jedoch nicht so gut es fing schon damit an dass ich am tag der vollstationären aufnahme nicht auf der essensliste auftauchte und die schwester meine essenswünsche nicht aufnehmen konnte daher bestellte sie irgendetwas das ich nicht mag und außerdem viel zu kleine portionen sodass ich als untergewichtige person abnahm auf meine initiative hat die nachtschwester mein essen umbestellt die umbestellung hielt aber nicht lange denn wenige tage später bekam ich wieder ein sehr kleines essen mit dingen die ich bereits abbestellt hatte die qualität des essens war okay aber nicht gut generell tat sich die küche schwer größere portionen gesunden essens salat gemüse obst bereitzustellen außerdem pfiff die heizung die zimmer waren klein und so hellhörig dass ich nicht richtig schlafen konnte außerdem hatten die fernseher keine kopfhörer sondern es mussten immer alle patienten im zimmer gemeinsam ein programm sehen in wolfsburg hat zb jeder privatpatient einen eigenen fernseher der im bett integriert ist das kostenlose wlan war sehr langsam und ist laufend zusammengebrochen  die schwestern waren nett und hilfsbereit wirkten aber fast immer überlastet am letzten tag erzählte mir noch eine schwester dass es fast nur zweibettzimmer im marienstift gäbe bekommt man auch ohne aufpreis ich hatte für diesen service jedoch bezahlt  und erwarte daher mehr als das  liebes marienstift so geht man doch nicht mit seinen privatpatienten um der service war im klinikum wolfsburg deutlich besser nehmen sie sich ein beispiel daran ich hätte nichts dagegen wenn sie für ein wenig mehr service die gebühr für die wahlleistung zimmer anheben  das zahlt meine versicherung sowieso,4
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,meine tochter wurde an den ohren operiert und war hierzu ambulant auf station c1 sie ist 5 und hatte noch nie einen aufenthalt in einem krankenhaus  und dann hat man hier dermassen unfreundliches personal  keine geduld oder einfühlvermögen für einen kleinen patienten  in großer hektik wurde sie dann aus dem zimmer geholt und in windes eile zum fahrstuhl richtig op geschoben vor diesem hatte ich als mama nicht mal 10 sekunden mich vernünftig zu verabschieden da hieß es sofort so weg es geht weiter jetzt meine tochter wusste gar nicht mehr was los ist und hatte ab da richtig angst und fing an zu weinen  eins ist sicher dieses krankenhaus besuchen wir niemals wieder  eine einzige frechheit,0
